test_id,array_size,sort_method,timestamp
0,5,bubble_sort,6041.0 ns
0,5,selection_sort,8685.0 ns
0,5,insertion_sort,7929.0 ns
0,5,merge_sort,4909.0 ns
0,5,quick_sort,5664.0 ns
0,5,count_sort,6419.0 ns
0,5,bucket_sort,6420.0 ns
0,5,radix_sort,4531.0 ns
1,5,bubble_sort,2265.0 ns
1,5,selection_sort,3020.0 ns
1,5,insertion_sort,2265.0 ns
1,5,merge_sort,378.0 ns
1,5,quick_sort,378.0 ns
1,5,count_sort,756.0 ns
1,5,bucket_sort,756.0 ns
1,5,radix_sort,755.0 ns
2,5,bubble_sort,2265.0 ns
2,5,selection_sort,2265.0 ns
2,5,insertion_sort,4909.0 ns
2,5,merge_sort,756.0 ns
2,5,quick_sort,378.0 ns
2,5,count_sort,378.0 ns
2,5,bucket_sort,377.0 ns
2,5,radix_sort,377.0 ns
3,5,bubble_sort,2265.0 ns
3,5,selection_sort,2644.0 ns
3,5,insertion_sort,1888.0 ns
3,5,merge_sort,378.0 ns
3,5,quick_sort,378.0 ns
3,5,count_sort,377.0 ns
3,5,bucket_sort,1133.0 ns
3,5,radix_sort,378.0 ns
4,5,bubble_sort,2266.0 ns
4,5,selection_sort,2643.0 ns
4,5,insertion_sort,2265.0 ns
4,5,merge_sort,378.0 ns
4,5,quick_sort,755.0 ns
4,5,count_sort,378.0 ns
4,5,bucket_sort,756.0 ns
4,5,radix_sort,0.0 ns
5,5,bubble_sort,1511.0 ns
5,5,selection_sort,2266.0 ns
5,5,insertion_sort,2265.0 ns
5,5,merge_sort,378.0 ns
5,5,quick_sort,0.0 ns
5,5,count_sort,0.0 ns
5,5,bucket_sort,377.0 ns
5,5,radix_sort,378.0 ns
6,5,bubble_sort,1888.0 ns
6,5,selection_sort,2643.0 ns
6,5,insertion_sort,1888.0 ns
6,5,merge_sort,378.0 ns
6,5,quick_sort,378.0 ns
6,5,count_sort,377.0 ns
6,5,bucket_sort,378.0 ns
6,5,radix_sort,378.0 ns
7,5,bubble_sort,2266.0 ns
7,5,selection_sort,2266.0 ns
7,5,insertion_sort,1510.0 ns
7,5,merge_sort,378.0 ns
7,5,quick_sort,378.0 ns
7,5,count_sort,378.0 ns
7,5,bucket_sort,378.0 ns
7,5,radix_sort,377.0 ns
8,5,bubble_sort,2643.0 ns
8,5,selection_sort,2643.0 ns
8,5,insertion_sort,4154.0 ns
8,5,merge_sort,755.0 ns
8,5,quick_sort,755.0 ns
8,5,count_sort,377.0 ns
8,5,bucket_sort,377.0 ns
8,5,radix_sort,378.0 ns
9,5,bubble_sort,2643.0 ns
9,5,selection_sort,4153.0 ns
9,5,insertion_sort,1887.0 ns
9,5,merge_sort,378.0 ns
9,5,quick_sort,378.0 ns
9,5,count_sort,1133.0 ns
9,5,bucket_sort,378.0 ns
9,5,radix_sort,378.0 ns
10,5,bubble_sort,2643.0 ns
10,5,selection_sort,2266.0 ns
10,5,insertion_sort,1887.0 ns
10,5,merge_sort,378.0 ns
10,5,quick_sort,378.0 ns
10,5,count_sort,377.0 ns
10,5,bucket_sort,378.0 ns
10,5,radix_sort,378.0 ns
11,5,bubble_sort,2266.0 ns
11,5,selection_sort,2266.0 ns
11,5,insertion_sort,1888.0 ns
11,5,merge_sort,378.0 ns
11,5,quick_sort,377.0 ns
11,5,count_sort,378.0 ns
11,5,bucket_sort,378.0 ns
11,5,radix_sort,378.0 ns
12,5,bubble_sort,3021.0 ns
12,5,selection_sort,2265.0 ns
12,5,insertion_sort,1888.0 ns
12,5,merge_sort,378.0 ns
12,5,quick_sort,378.0 ns
12,5,count_sort,378.0 ns
12,5,bucket_sort,378.0 ns
12,5,radix_sort,378.0 ns
13,5,bubble_sort,2266.0 ns
13,5,selection_sort,2265.0 ns
13,5,insertion_sort,1888.0 ns
13,5,merge_sort,378.0 ns
13,5,quick_sort,378.0 ns
13,5,count_sort,377.0 ns
13,5,bucket_sort,377.0 ns
13,5,radix_sort,0.0 ns
14,5,bubble_sort,1888.0 ns
14,5,selection_sort,2643.0 ns
14,5,insertion_sort,1888.0 ns
14,5,merge_sort,0.0 ns
14,5,quick_sort,378.0 ns
14,5,count_sort,0.0 ns
14,5,bucket_sort,1133.0 ns
14,5,radix_sort,377.0 ns
15,5,bubble_sort,2643.0 ns
15,5,selection_sort,7552.0 ns
15,5,insertion_sort,2265.0 ns
15,5,merge_sort,378.0 ns
15,5,quick_sort,756.0 ns
15,5,count_sort,378.0 ns
15,5,bucket_sort,377.0 ns
15,5,radix_sort,755.0 ns
16,5,bubble_sort,2266.0 ns
16,5,selection_sort,2643.0 ns
16,5,insertion_sort,1510.0 ns
16,5,merge_sort,377.0 ns
16,5,quick_sort,377.0 ns
16,5,count_sort,0.0 ns
16,5,bucket_sort,378.0 ns
16,5,radix_sort,378.0 ns
17,5,bubble_sort,1510.0 ns
17,5,selection_sort,1888.0 ns
17,5,insertion_sort,1511.0 ns
17,5,merge_sort,378.0 ns
17,5,quick_sort,0.0 ns
17,5,count_sort,377.0 ns
17,5,bucket_sort,0.0 ns
17,5,radix_sort,0.0 ns
18,5,bubble_sort,1510.0 ns
18,5,selection_sort,2266.0 ns
18,5,insertion_sort,1510.0 ns
18,5,merge_sort,0.0 ns
18,5,quick_sort,0.0 ns
18,5,count_sort,755.0 ns
18,5,bucket_sort,377.0 ns
18,5,radix_sort,378.0 ns
19,5,bubble_sort,2643.0 ns
19,5,selection_sort,1887.0 ns
19,5,insertion_sort,2266.0 ns
19,5,merge_sort,0.0 ns
19,5,quick_sort,377.0 ns
19,5,count_sort,378.0 ns
19,5,bucket_sort,0.0 ns
19,5,radix_sort,377.0 ns
20,5,bubble_sort,3021.0 ns
20,5,selection_sort,1888.0 ns
20,5,insertion_sort,2265.0 ns
20,5,merge_sort,377.0 ns
20,5,quick_sort,0.0 ns
20,5,count_sort,0.0 ns
20,5,bucket_sort,377.0 ns
20,5,radix_sort,0.0 ns
21,5,bubble_sort,16614.0 ns
21,5,selection_sort,1888.0 ns
21,5,insertion_sort,1133.0 ns
21,5,merge_sort,377.0 ns
21,5,quick_sort,0.0 ns
21,5,count_sort,0.0 ns
21,5,bucket_sort,377.0 ns
21,5,radix_sort,0.0 ns
22,5,bubble_sort,2265.0 ns
22,5,selection_sort,1888.0 ns
22,5,insertion_sort,1510.0 ns
22,5,merge_sort,378.0 ns
22,5,quick_sort,0.0 ns
22,5,count_sort,0.0 ns
22,5,bucket_sort,378.0 ns
22,5,radix_sort,377.0 ns
23,5,bubble_sort,1888.0 ns
23,5,selection_sort,1888.0 ns
23,5,insertion_sort,1133.0 ns
23,5,merge_sort,377.0 ns
23,5,quick_sort,377.0 ns
23,5,count_sort,378.0 ns
23,5,bucket_sort,377.0 ns
23,5,radix_sort,377.0 ns
24,5,bubble_sort,1888.0 ns
24,5,selection_sort,1888.0 ns
24,5,insertion_sort,1511.0 ns
24,5,merge_sort,378.0 ns
24,5,quick_sort,378.0 ns
24,5,count_sort,755.0 ns
24,5,bucket_sort,0.0 ns
24,5,radix_sort,0.0 ns
25,5,bubble_sort,2265.0 ns
25,5,selection_sort,1888.0 ns
25,5,insertion_sort,1510.0 ns
25,5,merge_sort,377.0 ns
25,5,quick_sort,377.0 ns
25,5,count_sort,378.0 ns
25,5,bucket_sort,377.0 ns
25,5,radix_sort,378.0 ns
26,5,bubble_sort,1888.0 ns
26,5,selection_sort,1888.0 ns
26,5,insertion_sort,1510.0 ns
26,5,merge_sort,378.0 ns
26,5,quick_sort,377.0 ns
26,5,count_sort,378.0 ns
26,5,bucket_sort,378.0 ns
26,5,radix_sort,378.0 ns
27,5,bubble_sort,1888.0 ns
27,5,selection_sort,1510.0 ns
27,5,insertion_sort,1510.0 ns
27,5,merge_sort,755.0 ns
27,5,quick_sort,0.0 ns
27,5,count_sort,377.0 ns
27,5,bucket_sort,377.0 ns
27,5,radix_sort,378.0 ns
28,5,bubble_sort,1888.0 ns
28,5,selection_sort,1511.0 ns
28,5,insertion_sort,2265.0 ns
28,5,merge_sort,378.0 ns
28,5,quick_sort,0.0 ns
28,5,count_sort,378.0 ns
28,5,bucket_sort,378.0 ns
28,5,radix_sort,377.0 ns
29,5,bubble_sort,1888.0 ns
29,5,selection_sort,1511.0 ns
29,5,insertion_sort,1133.0 ns
29,5,merge_sort,378.0 ns
29,5,quick_sort,377.0 ns
29,5,count_sort,378.0 ns
29,5,bucket_sort,0.0 ns
29,5,radix_sort,0.0 ns
30,5,bubble_sort,1510.0 ns
30,5,selection_sort,1888.0 ns
30,5,insertion_sort,1132.0 ns
30,5,merge_sort,378.0 ns
30,5,quick_sort,0.0 ns
30,5,count_sort,377.0 ns
30,5,bucket_sort,378.0 ns
30,5,radix_sort,377.0 ns
31,5,bubble_sort,1888.0 ns
31,5,selection_sort,1888.0 ns
31,5,insertion_sort,1133.0 ns
31,5,merge_sort,0.0 ns
31,5,quick_sort,377.0 ns
31,5,count_sort,377.0 ns
31,5,bucket_sort,377.0 ns
31,5,radix_sort,377.0 ns
32,5,bubble_sort,1889.0 ns
32,5,selection_sort,1888.0 ns
32,5,insertion_sort,1133.0 ns
32,5,merge_sort,378.0 ns
32,5,quick_sort,378.0 ns
32,5,count_sort,378.0 ns
32,5,bucket_sort,378.0 ns
32,5,radix_sort,377.0 ns
33,5,bubble_sort,1889.0 ns
33,5,selection_sort,1510.0 ns
33,5,insertion_sort,1510.0 ns
33,5,merge_sort,0.0 ns
33,5,quick_sort,0.0 ns
33,5,count_sort,0.0 ns
33,5,bucket_sort,0.0 ns
33,5,radix_sort,0.0 ns
34,5,bubble_sort,1510.0 ns
34,5,selection_sort,1511.0 ns
34,5,insertion_sort,1510.0 ns
34,5,merge_sort,377.0 ns
34,5,quick_sort,0.0 ns
34,5,count_sort,378.0 ns
34,5,bucket_sort,0.0 ns
34,5,radix_sort,378.0 ns
35,5,bubble_sort,1510.0 ns
35,5,selection_sort,2266.0 ns
35,5,insertion_sort,2266.0 ns
35,5,merge_sort,0.0 ns
35,5,quick_sort,377.0 ns
35,5,count_sort,0.0 ns
35,5,bucket_sort,755.0 ns
35,5,radix_sort,0.0 ns
36,5,bubble_sort,1510.0 ns
36,5,selection_sort,1888.0 ns
36,5,insertion_sort,1510.0 ns
36,5,merge_sort,377.0 ns
36,5,quick_sort,0.0 ns
36,5,count_sort,378.0 ns
36,5,bucket_sort,0.0 ns
36,5,radix_sort,0.0 ns
37,5,bubble_sort,1510.0 ns
37,5,selection_sort,1887.0 ns
37,5,insertion_sort,2643.0 ns
37,5,merge_sort,378.0 ns
37,5,quick_sort,377.0 ns
37,5,count_sort,378.0 ns
37,5,bucket_sort,0.0 ns
37,5,radix_sort,378.0 ns
38,5,bubble_sort,1511.0 ns
38,5,selection_sort,1888.0 ns
38,5,insertion_sort,1510.0 ns
38,5,merge_sort,378.0 ns
38,5,quick_sort,378.0 ns
38,5,count_sort,377.0 ns
38,5,bucket_sort,377.0 ns
38,5,radix_sort,377.0 ns
39,5,bubble_sort,1510.0 ns
39,5,selection_sort,1511.0 ns
39,5,insertion_sort,1888.0 ns
39,5,merge_sort,378.0 ns
39,5,quick_sort,755.0 ns
39,5,count_sort,378.0 ns
39,5,bucket_sort,0.0 ns
39,5,radix_sort,377.0 ns
40,5,bubble_sort,1510.0 ns
40,5,selection_sort,1510.0 ns
40,5,insertion_sort,1133.0 ns
40,5,merge_sort,377.0 ns
40,5,quick_sort,0.0 ns
40,5,count_sort,377.0 ns
40,5,bucket_sort,0.0 ns
40,5,radix_sort,0.0 ns
41,5,bubble_sort,1510.0 ns
41,5,selection_sort,1511.0 ns
41,5,insertion_sort,1133.0 ns
41,5,merge_sort,377.0 ns
41,5,quick_sort,0.0 ns
41,5,count_sort,377.0 ns
41,5,bucket_sort,377.0 ns
41,5,radix_sort,0.0 ns
42,5,bubble_sort,1510.0 ns
42,5,selection_sort,1510.0 ns
42,5,insertion_sort,1511.0 ns
42,5,merge_sort,378.0 ns
42,5,quick_sort,377.0 ns
42,5,count_sort,378.0 ns
42,5,bucket_sort,755.0 ns
42,5,radix_sort,377.0 ns
43,5,bubble_sort,1511.0 ns
43,5,selection_sort,1888.0 ns
43,5,insertion_sort,1510.0 ns
43,5,merge_sort,0.0 ns
43,5,quick_sort,378.0 ns
43,5,count_sort,378.0 ns
43,5,bucket_sort,377.0 ns
43,5,radix_sort,0.0 ns
44,5,bubble_sort,1510.0 ns
44,5,selection_sort,1510.0 ns
44,5,insertion_sort,1889.0 ns
44,5,merge_sort,378.0 ns
44,5,quick_sort,0.0 ns
44,5,count_sort,0.0 ns
44,5,bucket_sort,0.0 ns
44,5,radix_sort,1510.0 ns
45,5,bubble_sort,2266.0 ns
45,5,selection_sort,2265.0 ns
45,5,insertion_sort,1888.0 ns
45,5,merge_sort,377.0 ns
45,5,quick_sort,755.0 ns
45,5,count_sort,378.0 ns
45,5,bucket_sort,378.0 ns
45,5,radix_sort,377.0 ns
46,5,bubble_sort,1511.0 ns
46,5,selection_sort,1888.0 ns
46,5,insertion_sort,1510.0 ns
46,5,merge_sort,377.0 ns
46,5,quick_sort,377.0 ns
46,5,count_sort,0.0 ns
46,5,bucket_sort,0.0 ns
46,5,radix_sort,378.0 ns
47,5,bubble_sort,1510.0 ns
47,5,selection_sort,1510.0 ns
47,5,insertion_sort,1510.0 ns
47,5,merge_sort,0.0 ns
47,5,quick_sort,378.0 ns
47,5,count_sort,0.0 ns
47,5,bucket_sort,377.0 ns
47,5,radix_sort,378.0 ns
48,5,bubble_sort,1888.0 ns
48,5,selection_sort,3021.0 ns
48,5,insertion_sort,1511.0 ns
48,5,merge_sort,378.0 ns
48,5,quick_sort,378.0 ns
48,5,count_sort,0.0 ns
48,5,bucket_sort,378.0 ns
48,5,radix_sort,378.0 ns
49,5,bubble_sort,1888.0 ns
49,5,selection_sort,1510.0 ns
49,5,insertion_sort,1510.0 ns
49,5,merge_sort,377.0 ns
49,5,quick_sort,377.0 ns
49,5,count_sort,0.0 ns
49,5,bucket_sort,0.0 ns
49,5,radix_sort,0.0 ns